FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
1.0,1.0,D,0.0,0.0,D,4.33,3.4,1.8,4.5,3.3,1.66
0.0,1.0,A,0.0,0.0,D,3.25,3.2,2.2,3.1,3.1,2.1
1.0,0.0,H,0.0,0.0,D,2.6,3.1,2.7,2.5,3.1,2.5
0.0,4.0,A,0.0,1.0,A,4.75,3.5,1.72,4.0,3.1,1.8
3.0,0.0,H,1.0,0.0,H,1.28,5.0,10.0,1.22,4.8,10.0
1.0,0.0,H,1.0,0.0,H,2.1,3.2,3.5,2.0,3.1,3.3
2.0,0.0,H,1.0,0.0,H,1.14,7.0,19.0,1.14,5.5,15.0
2.0,1.0,H,1.0,1.0,D,3.8,3.4,1.9,3.75,3.2,1.83
2.0,1.0,H,1.0,0.0,H,1.9,3.25,4.0,1.8,3.1,4.0
2.0,0.0,H,1.0,0.0,H,2.1,3.2,3.5,1.95,3.1,3.5
2.0,1.0,H,1.0,1.0,D,2.8,3.25,2.4,2.5,3.1,2.5
0.0,1.0,A,0.0,1.0,A,1.83,3.3,4.33,1.8,3.3,3.75
2.0,1.0,H,0.0,1.0,A,1.25,5.0,13.0,1.22,4.8,10.0
2.0,1.0,H,1.0,0.0,H,1.66,3.6,5.0,1.66,3.1,5.0
1.0,2.0,A,1.0,1.0,D,2.3,3.25,3.0,2.1,3.1,3.1
1.0,1.0,D,1.0,1.0,D,2.4,3.25,2.8,2.3,3.2,2.62
4.0,0.0,H,3.0,0.0,H,2.3,3.25,3.0,2.25,3.1,2.8
1.0,2.0,A,1.0,1.0,D,7.5,4.33,1.4,6.5,3.6,1.44
4.0,0.0,H,2.0,0.0,H,1.3,4.75,8.5,1.28,4.2,9.0
2.0,1.0,H,1.0,0.0,H,2.25,3.2,3.1,2.3,3.1,2.75
0.0,3.0,A,0.0,2.0,A,3.1,3.2,2.25,2.75,3.1,2.3
3.0,0.0,H,2.0,0.0,H,2.3,3.1,3.1,2.15,3.1,3.0
4.0,1.0,H,3.0,1.0,H,2.1,3.25,3.4,2.05,3.0,3.3
1.0,0.0,H,1.0,0.0,H,2.5,3.25,2.7,2.4,3.1,2.6
2.0,1.0,H,0.0,0.0,D,1.5,3.75,7.0,1.4,3.75,7.0
1.0,1.0,D,1.0,1.0,D,2.37,3.2,2.9,2.25,3.1,2.8
0.0,1.0,A,0.0,0.0,D,2.6,3.1,2.7,2.62,2.9,2.5
0.0,1.0,A,0.0,1.0,A,2.0,3.2,3.75,1.9,3.1,3.6
0.0,0.0,D,0.0,0.0,D,2.0,3.2,3.75,2.05,3.0,3.3
0.0,2.0,A,0.0,1.0,A,6.0,3.75,1.5,5.5,3.5,1.53
1.0,1.0,D,0.0,0.0,D,2.6,3.2,2.62,2.4,3.1,2.6
2.0,2.0,D,2.0,0.0,H,2.5,3.1,2.8,2.37,3.1,2.62
1.0,2.0,A,0.0,0.0,D,2.0,3.2,3.75,1.9,3.1,3.6
3.0,4.0,A,2.0,0.0,H,3.2,3.25,2.2,2.87,3.1,2.2
0.0,1.0,A,0.0,1.0,A,3.6,3.3,2.0,3.5,3.2,1.9
0.0,1.0,A,0.0,1.0,A,7.0,3.75,1.5,6.5,3.6,1.44
1.0,2.0,A,0.0,0.0,D,1.72,3.5,4.75,1.57,3.5,5.0
3.0,0.0,H,2.0,0.0,H,1.16,6.5,15.0,1.14,5.5,15.0
4.0,1.0,H,3.0,0.0,H,1.3,5.0,9.0,1.3,4.2,8.5
0.0,2.0,A,0.0,0.0,D,1.95,3.3,3.8,2.1,3.2,3.0
0.0,0.0,D,0.0,0.0,D,2.0,3.3,3.6,1.9,3.2,3.5
3.0,1.0,H,1.0,0.0,H,1.4,4.0,7.0,1.44,3.6,6.5
0.0,0.0,D,0.0,0.0,D,2.1,3.25,3.4,2.0,3.2,3.2
0.0,0.0,D,0.0,0.0,D,4.0,3.25,1.9,3.75,3.2,1.83
2.0,0.0,H,0.0,0.0,D,2.4,3.25,2.8,2.25,3.2,2.75
1.0,0.0,H,0.0,0.0,D,3.1,3.3,2.2,3.0,3.2,2.1
1.0,0.0,H,0.0,0.0,D,1.61,3.6,5.5,1.61,3.3,5.0
1.0,0.0,H,0.0,0.0,D,2.1,3.25,3.4,2.1,3.1,3.1
1.0,1.0,D,0.0,1.0,A,2.3,3.25,3.0,2.25,3.1,2.8
4.0,1.0,H,2.0,0.0,H,2.2,3.2,3.25,2.15,3.0,3.1
4.0,1.0,H,0.0,1.0,A,1.33,4.5,9.5,1.33,4.0,8.0
0.0,1.0,A,0.0,0.0,D,1.9,3.3,4.0,1.9,3.2,3.5
0.0,1.0,A,0.0,0.0,D,9.5,4.5,1.33,8.5,4.8,1.25
2.0,0.0,H,2.0,0.0,H,2.2,3.2,3.25,2.1,3.2,3.0
1.0,0.0,H,1.0,0.0,H,1.72,3.4,5.0,1.72,3.2,4.33
1.0,1.0,D,0.0,1.0,A,2.37,3.2,2.9,2.25,3.0,2.87
4.0,1.0,H,3.0,1.0,H,1.66,3.4,5.5,1.7,3.2,4.5
0.0,0.0,D,0.0,0.0,D,2.1,3.2,3.5,1.95,3.25,3.3
0.0,1.0,A,0.0,1.0,A,1.4,4.33,7.5,1.4,4.33,5.5
1.0,2.0,A,1.0,1.0,D,2.0,3.2,3.75,1.83,3.2,3.75
1.0,0.0,H,0.0,0.0,D,1.44,4.0,7.5,1.36,4.0,7.0
4.0,1.0,H,2.0,1.0,H,1.61,3.6,5.5,1.61,3.5,4.5
2.0,1.0,H,1.0,0.0,H,6.0,4.0,1.5,6.0,3.4,1.5
1.0,2.0,A,0.0,1.0,A,3.8,3.4,1.9,3.3,3.25,1.95
1.0,2.0,A,0.0,1.0,A,2.37,3.25,2.87,2.15,3.3,2.8
1.0,3.0,A,1.0,1.0,D,2.5,3.25,2.7,2.5,3.1,2.5
1.0,1.0,D,0.0,1.0,A,1.9,3.25,4.0,1.9,3.1,3.6
1.0,1.0,D,1.0,1.0,D,2.1,3.2,3.4,2.0,3.2,3.2
0.0,0.0,D,0.0,0.0,D,2.25,3.25,3.1,2.2,3.3,2.7
1.0,3.0,A,0.0,2.0,A,2.2,3.25,3.2,2.15,3.2,2.9
0.0,0.0,D,0.0,0.0,D,3.2,3.25,2.2,3.4,3.25,1.9
4.0,2.0,H,2.0,1.0,H,3.0,3.25,2.3,2.7,3.3,2.2
2.0,1.0,H,1.0,1.0,D,1.66,3.6,5.0,1.61,3.3,5.0
0.0,0.0,D,0.0,0.0,D,4.0,3.5,1.83,4.33,3.3,1.7
1.0,3.0,A,1.0,1.0,D,2.1,3.25,3.4,2.2,3.0,3.0
2.0,1.0,H,1.0,0.0,H,2.1,3.25,3.4,1.9,3.2,3.5
1.0,0.0,H,1.0,0.0,H,1.9,3.25,4.0,1.83,3.3,3.6
3.0,0.0,H,1.0,0.0,H,2.4,3.25,2.8,2.3,3.3,2.6
2.0,1.0,H,0.0,0.0,D,1.72,3.5,4.75,1.61,3.5,4.5
3.0,3.0,D,2.0,2.0,D,3.0,3.3,2.25,2.7,3.25,2.25
3.0,1.0,H,1.0,1.0,D,1.4,4.33,7.5,1.4,3.75,7.0
2.0,0.0,H,1.0,0.0,H,1.14,7.0,17.0,1.14,5.5,15.0
3.0,1.0,H,3.0,1.0,H,1.61,3.6,5.5,1.61,3.3,5.0
2.0,0.0,H,0.0,0.0,D,1.36,4.5,8.0,1.4,3.75,7.0
1.0,4.0,A,1.0,2.0,A,7.0,4.2,1.44,5.5,3.6,1.5
1.0,3.0,A,0.0,0.0,D,1.83,3.3,4.33,1.9,3.25,3.4
1.0,1.0,D,0.0,0.0,D,2.05,3.25,3.6,2.0,3.3,3.1
1.0,1.0,D,1.0,0.0,H,2.25,3.2,3.1,2.1,3.3,2.87
2.0,0.0,H,1.0,0.0,H,1.36,4.5,8.0,1.44,3.6,6.5
1.0,1.0,D,1.0,1.0,D,1.2,6.0,13.0,1.16,5.5,12.0
2.0,2.0,D,1.0,0.0,H,2.7,3.25,2.5,2.5,3.1,2.5
1.0,1.0,D,0.0,0.0,D,2.62,3.25,2.6,2.5,3.1,2.5
1.0,0.0,H,1.0,0.0,H,2.4,3.4,2.75,2.3,3.4,2.5
0.0,0.0,D,0.0,0.0,D,2.2,2.5,3.2,2.15,3.2,2.9
0.0,0.0,D,0.0,0.0,D,6.0,3.8,1.53,5.5,3.6,1.5
4.0,1.0,H,0.0,0.0,D,2.1,3.25,3.4,2.1,3.4,2.8
2.0,2.0,D,2.0,1.0,H,1.28,5.0,10.0,1.3,4.33,8.0
2.0,4.0,A,1.0,0.0,H,5.0,3.6,1.66,4.5,3.5,1.61
0.0,2.0,A,0.0,1.0,A,2.3,3.25,3.0,2.25,3.0,2.87
2.0,3.0,A,0.0,1.0,A,2.7,3.25,2.5,2.5,3.4,2.3
2.0,1.0,H,2.0,0.0,H,3.2,3.25,2.2,2.7,3.3,2.2
1.0,0.0,H,1.0,0.0,H,1.57,3.8,5.5,1.57,3.5,5.0
0.0,3.0,A,0.0,1.0,A,2.1,3.25,3.4,2.3,3.4,2.5
3.0,1.0,H,1.0,0.0,H,1.33,4.5,9.5,1.36,4.0,7.0
1.0,0.0,H,0.0,0.0,D,2.0,3.3,3.6,1.8,3.5,3.5
3.0,0.0,H,2.0,0.0,H,1.9,3.4,4.0,1.9,3.1,3.6
3.0,0.0,H,0.0,0.0,D,1.95,3.3,3.8,1.83,3.2,3.75
1.0,0.0,H,0.0,0.0,D,3.2,3.25,2.2,2.87,3.3,2.1
0.0,1.0,A,0.0,1.0,A,6.0,4.0,1.5,6.0,3.3,1.53
0.0,2.0,A,0.0,1.0,A,2.25,3.3,3.0,2.15,3.2,2.9
0.0,2.0,A,0.0,0.0,D,1.4,4.33,7.5,1.44,3.75,6.0
3.0,1.0,H,3.0,0.0,H,2.15,3.25,3.3,2.05,3.4,2.9
0.0,1.0,A,0.0,1.0,A,2.1,3.25,3.4,2.1,3.3,2.87
1.0,1.0,D,1.0,0.0,H,2.7,3.25,2.5,2.6,3.3,2.3
0.0,2.0,A,0.0,1.0,A,2.87,3.25,2.37,2.9,3.4,2.05
0.0,0.0,D,0.0,0.0,D,2.1,3.2,3.2,2.2,3.1,2.87
1.0,1.0,D,0.0,1.0,A,1.8,3.4,4.33,1.72,3.4,4.0
3.0,3.0,D,1.0,1.0,D,2.0,3.4,3.5,2.05,3.4,2.9
2.0,2.0,D,1.0,1.0,D,1.86,3.4,4.0,1.9,3.2,3.5
1.0,1.0,D,0.0,0.0,D,1.72,3.5,4.75,1.5,3.6,5.5
2.0,2.0,D,0.0,1.0,A,1.36,4.5,8.0,1.36,4.0,7.0
0.0,1.0,A,0.0,1.0,A,1.57,3.6,6.0,1.61,3.3,5.0
3.0,1.0,H,2.0,1.0,H,1.9,3.25,4.0,1.83,3.2,3.75
0.0,0.0,D,0.0,0.0,D,2.7,3.5,2.37,2.5,3.4,2.3
1.0,2.0,A,1.0,2.0,A,2.3,3.4,2.87,2.2,3.3,2.7
2.0,1.0,H,2.0,1.0,H,1.5,3.75,7.0,1.5,3.4,6.0
1.0,1.0,D,0.0,1.0,A,2.8,3.3,2.37,2.5,3.1,2.5
1.0,2.0,A,0.0,1.0,A,4.0,3.25,1.9,,,
1.0,3.0,A,0.0,3.0,A,2.5,3.2,2.75,,,
2.0,2.0,D,1.0,1.0,D,2.8,3.25,2.4,,,
2.0,1.0,H,1.0,0.0,H,1.66,3.4,5.5,,,
1.0,2.0,A,1.0,0.0,H,2.37,3.25,2.87,,,
1.0,0.0,H,0.0,0.0,D,3.4,3.25,2.1,,,
0.0,2.0,A,0.0,1.0,A,2.0,3.2,3.75,,,
2.0,1.0,H,0.0,1.0,A,1.33,4.5,10.0,,,
3.0,2.0,H,2.0,2.0,D,1.2,6.0,13.0,,,
0.0,0.0,D,0.0,0.0,D,1.22,5.5,13.0,,,
1.0,3.0,A,1.0,3.0,A,1.8,3.4,4.33,,,
2.0,2.0,D,1.0,0.0,H,2.3,3.25,3.0,,,
2.0,1.0,H,2.0,1.0,H,2.2,3.25,3.2,,,
1.0,0.0,H,1.0,0.0,H,1.61,3.6,5.5,,,
1.0,1.0,D,0.0,1.0,A,5.5,3.6,1.61,,,
1.0,2.0,A,1.0,0.0,H,6.5,3.75,1.53,,,
1.0,0.0,H,0.0,0.0,D,2.3,3.25,3.0,,,
0.0,1.0,A,0.0,0.0,D,2.37,3.25,2.87,,,
1.0,2.0,A,1.0,0.0,H,2.1,3.25,3.4,,,
0.0,0.0,D,0.0,0.0,D,1.83,3.3,4.33,,,
3.0,1.0,H,2.0,1.0,H,1.83,3.3,4.33,,,
1.0,0.0,H,1.0,0.0,H,2.5,3.25,2.7,,,
4.0,0.0,H,3.0,0.0,H,1.44,4.0,7.5,,,
3.0,0.0,H,1.0,0.0,H,2.2,3.25,3.2,,,
1.0,1.0,D,0.0,1.0,A,3.1,3.2,2.25,,,
1.0,1.0,D,1.0,0.0,H,2.62,3.1,3.1,,,
1.0,0.0,H,1.0,0.0,H,4.5,3.25,1.83,,,
1.0,0.0,H,0.0,0.0,D,1.53,3.8,6.0,,,
2.0,1.0,H,0.0,1.0,A,1.8,3.4,4.5,,,
3.0,0.0,H,1.0,0.0,H,2.25,3.2,3.0,,,
1.0,0.0,H,1.0,0.0,H,1.28,5.0,10.0,,,
1.0,2.0,A,0.0,1.0,A,2.37,3.25,2.87,,,
1.0,1.0,D,0.0,1.0,A,2.1,3.2,3.5,,,
0.0,2.0,A,0.0,1.0,A,6.0,3.6,1.57,,,
1.0,1.0,D,0.0,0.0,D,1.9,3.25,4.0,,,
1.0,0.0,H,0.0,0.0,D,1.5,4.0,6.0,,,
2.0,2.0,D,1.0,1.0,D,2.6,3.2,2.62,,,
1.0,2.0,A,0.0,1.0,A,2.4,3.2,2.87,,,
3.0,3.0,D,1.0,2.0,A,3.1,3.2,2.25,,,
6.0,0.0,H,2.0,0.0,H,1.16,6.0,19.0,,,
1.0,0.0,H,0.0,0.0,D,1.16,6.0,19.0,,,
2.0,0.0,H,2.0,0.0,H,2.0,3.2,3.75,,,
1.0,0.0,H,0.0,0.0,D,1.72,3.5,4.75,,,
0.0,3.0,A,0.0,1.0,A,2.2,3.2,3.25,,,
3.0,1.0,H,2.0,0.0,H,1.5,3.75,7.0,,,
2.0,0.0,H,0.0,0.0,D,5.5,3.6,1.61,,,
1.0,0.0,H,1.0,0.0,H,2.2,3.2,3.25,,,
1.0,0.0,H,1.0,0.0,H,2.37,3.25,3.0,,,
0.0,0.0,D,0.0,0.0,D,1.36,4.33,10.0,,,
0.0,1.0,A,0.0,0.0,D,4.5,3.5,1.8,,,
0.0,0.0,D,0.0,0.0,D,5.0,3.5,1.72,,,
2.0,1.0,H,1.0,0.0,H,2.25,3.25,3.2,,,
1.0,3.0,A,1.0,0.0,H,2.8,3.2,2.5,,,
3.0,0.0,H,0.0,0.0,D,2.0,3.4,3.75,,,
1.0,1.0,D,0.0,1.0,A,2.1,3.25,3.6,,,
1.0,0.0,H,0.0,0.0,D,2.37,3.25,3.0,,,
1.0,0.0,H,1.0,0.0,H,4.33,3.25,1.9,,,
5.0,0.0,H,2.0,0.0,H,1.14,7.0,23.0,,,
3.0,3.0,D,1.0,1.0,D,2.5,3.25,2.8,,,
0.0,0.0,D,0.0,0.0,D,1.22,5.25,17.0,,,
2.0,2.0,D,1.0,1.0,D,2.1,3.2,3.6,,,
2.0,1.0,H,1.0,0.0,H,2.1,3.2,3.6,,,
2.0,0.0,H,1.0,0.0,H,2.25,3.2,3.25,,,
0.0,1.0,A,0.0,1.0,A,1.9,3.3,4.2,,,
1.0,1.0,D,1.0,1.0,D,2.8,3.25,2.5,,,
2.0,0.0,H,1.0,0.0,H,2.1,3.25,4.0,,,
3.0,1.0,H,2.0,1.0,H,2.0,3.4,3.75,,,
0.0,1.0,A,0.0,0.0,D,6.5,4.0,1.53,,,
0.0,0.0,D,0.0,0.0,D,1.3,5.0,12.0,,,
1.0,1.0,D,1.0,1.0,D,2.7,3.25,2.62,,,
3.0,1.0,H,1.0,1.0,D,2.25,3.25,3.3,,,
7.0,4.0,H,2.0,1.0,H,1.72,3.4,5.5,,,
1.0,2.0,A,0.0,0.0,D,2.75,3.25,2.62,,,
0.0,1.0,A,0.0,1.0,A,4.5,3.5,1.83,,,
0.0,1.0,A,0.0,0.0,D,6.5,3.8,1.57,,,
2.0,0.0,H,1.0,0.0,H,1.8,3.5,4.75,,,
4.0,4.0,D,1.0,3.0,A,1.9,3.25,4.33,,,
1.0,0.0,H,1.0,0.0,H,1.83,3.6,4.33,,,
4.0,0.0,H,0.0,0.0,D,1.16,6.5,21.0,,,
3.0,2.0,H,2.0,1.0,H,1.16,6.5,23.0,,,
2.0,1.0,H,1.0,0.0,H,1.66,3.75,5.5,,,
0.0,1.0,A,0.0,1.0,A,5.0,3.6,1.72,,,
0.0,2.0,A,0.0,0.0,D,2.62,3.25,2.75,,,
2.0,2.0,D,1.0,1.0,D,1.53,4.0,6.5,,,
3.0,1.0,H,2.0,0.0,H,1.66,3.6,5.5,,,
3.0,2.0,H,1.0,0.0,H,2.1,3.3,3.6,,,
1.0,0.0,H,0.0,0.0,D,1.72,3.6,5.0,,,
2.0,0.0,H,0.0,0.0,D,1.25,5.25,15.0,,,
1.0,4.0,A,1.0,3.0,A,4.5,3.6,1.8,,,
4.0,2.0,H,3.0,0.0,H,1.7,3.5,5.5,,,
1.0,2.0,A,1.0,0.0,H,3.6,3.3,2.1,,,
0.0,0.0,D,0.0,0.0,D,1.72,3.5,5.25,,,
1.0,0.0,H,1.0,0.0,H,1.57,3.6,7.0,,,
0.0,2.0,A,0.0,1.0,A,6.0,3.75,1.61,,,
0.0,2.0,A,0.0,0.0,D,3.1,3.25,2.37,,,
3.0,1.0,H,1.0,0.0,H,1.9,3.25,4.5,,,
3.0,1.0,H,1.0,0.0,H,2.37,3.3,3.0,,,
3.0,2.0,H,1.0,1.0,D,2.1,3.3,3.6,,,
6.0,0.0,H,2.0,0.0,H,1.5,4.0,7.0,,,
4.0,1.0,H,2.0,1.0,H,1.18,6.5,19.0,,,
0.0,0.0,D,0.0,0.0,D,1.8,3.5,4.75,,,
2.0,1.0,H,0.0,0.0,D,2.75,3.25,2.5,,,
1.0,1.0,D,0.0,1.0,A,2.1,3.3,3.6,,,
1.0,1.0,D,1.0,0.0,H,2.7,3.3,2.62,,,
0.0,2.0,A,0.0,1.0,A,3.6,3.3,2.1,,,
1.0,1.0,D,1.0,0.0,H,2.5,3.25,2.8,,,
1.0,2.0,A,0.0,0.0,D,2.2,3.4,3.25,,,
2.0,2.0,D,0.0,1.0,A,2.5,3.1,3.0,2.25,3.0,2.88
2.0,0.0,H,0.0,0.0,D,1.4,4.33,9.0,1.4,3.75,7.0
0.0,0.0,D,0.0,0.0,D,3.0,3.3,2.37,2.8,3.1,2.25
3.0,1.0,H,1.0,0.0,H,1.66,3.5,5.75,1.62,3.3,5.0
3.0,1.0,H,1.0,0.0,H,2.2,3.25,3.4,2.2,3.1,2.88
1.0,1.0,D,0.0,1.0,A,3.0,3.25,2.4,2.62,3.1,2.38
1.0,4.0,A,1.0,3.0,A,2.1,3.3,3.6,2.1,3.1,3.1
0.0,2.0,A,0.0,2.0,A,9.0,4.33,1.4,7.0,3.75,1.4
1.0,1.0,D,1.0,0.0,H,1.9,3.3,4.33,1.8,3.1,4.0
1.0,0.0,H,0.0,0.0,D,1.61,3.75,6.0,1.57,3.3,5.5
0.0,5.0,A,0.0,1.0,A,3.25,3.4,2.2,2.88,3.1,2.2
2.0,0.0,H,0.0,0.0,D,1.22,5.0,13.0,1.29,4.2,9.0
1.0,1.0,D,0.0,0.0,D,2.87,3.25,2.5,2.62,2.9,2.5
1.0,2.0,A,0.0,1.0,A,2.7,3.2,2.7,2.62,2.9,2.5
0.0,0.0,D,0.0,0.0,D,2.1,3.4,3.5,2.0,3.2,3.2
1.0,1.0,D,0.0,0.0,D,1.33,5.0,10.0,1.33,4.0,8.0
2.0,0.0,H,2.0,0.0,H,1.33,4.5,8.5,1.36,3.75,8.0
0.0,0.0,D,0.0,0.0,D,2.0,3.4,3.8,2.0,3.2,3.2
4.0,0.0,H,3.0,0.0,H,1.44,4.2,8.0,1.44,3.6,6.5
1.0,3.0,A,0.0,1.0,A,7.0,4.0,1.5,6.0,3.4,1.5
2.0,0.0,H,0.0,0.0,D,1.16,7.0,17.0,1.14,5.5,15.0
0.0,2.0,A,0.0,1.0,A,3.2,3.3,2.3,2.6,3.1,2.4
1.0,0.0,H,1.0,0.0,H,9.0,4.33,1.4,6.5,3.6,1.44
0.0,2.0,A,0.0,1.0,A,15.0,6.0,1.22,8.0,4.5,1.29
7.0,1.0,H,3.0,1.0,H,1.61,3.6,6.5,1.62,3.3,5.0
2.0,1.0,H,1.0,1.0,D,1.57,3.75,6.5,1.57,3.3,5.5
0.0,3.0,A,0.0,1.0,A,2.75,3.25,2.6,2.5,3.1,2.5
0.0,3.0,A,0.0,1.0,A,3.8,3.3,2.0,3.3,3.25,1.95
2.0,2.0,D,0.0,0.0,D,2.87,3.25,2.5,2.6,3.1,2.4
1.0,1.0,D,1.0,0.0,H,2.75,3.25,2.6,2.4,3.1,2.6
0.0,4.0,A,0.0,1.0,A,2.2,3.25,3.4,2.05,3.1,3.2
1.0,2.0,A,1.0,2.0,A,4.0,3.3,2.0,3.75,3.2,1.83
3.0,1.0,H,0.0,0.0,D,1.9,3.4,4.2,1.83,3.2,3.75
1.0,0.0,H,0.0,0.0,D,1.25,5.5,13.0,1.25,4.5,10.0
0.0,0.0,D,0.0,0.0,D,2.2,3.25,3.4,2.0,3.1,3.3
1.0,1.0,D,0.0,0.0,D,2.0,3.3,4.0,1.8,3.25,3.8
1.0,0.0,H,0.0,0.0,D,1.66,3.6,5.5,1.62,3.3,5.0
1.0,1.0,D,1.0,1.0,D,3.0,3.25,2.4,2.8,3.1,2.25
4.0,0.0,H,2.0,0.0,H,1.28,5.0,13.0,1.3,4.2,8.5
2.0,3.0,A,0.0,1.0,A,1.44,4.2,8.0,1.4,3.75,7.0
2.0,0.0,H,1.0,0.0,H,1.2,6.0,17.0,1.14,5.5,15.0
1.0,1.0,D,0.0,1.0,A,6.0,3.75,1.61,5.0,3.3,1.62
1.0,3.0,A,0.0,2.0,A,2.1,3.3,3.6,1.95,3.1,3.5
2.0,0.0,H,1.0,0.0,H,1.16,6.5,21.0,1.14,5.5,15.0
3.0,0.0,H,0.0,0.0,D,1.57,3.75,6.5,1.57,3.3,5.5
4.0,1.0,H,2.0,0.0,H,1.11,8.5,26.0,1.1,6.5,17.0
2.0,1.0,H,1.0,1.0,D,1.8,3.5,4.75,1.91,3.2,3.5
3.0,1.0,H,1.0,1.0,D,5.5,3.6,1.66,5.0,3.3,1.62
0.0,1.0,A,0.0,0.0,D,1.83,3.5,4.5,1.73,3.2,4.33
4.0,1.0,H,2.0,1.0,H,2.0,3.4,3.8,1.95,3.1,3.5
2.0,1.0,H,1.0,0.0,H,7.0,3.8,1.53,6.5,3.6,1.44
2.0,1.0,H,1.0,0.0,H,2.0,3.3,3.75,1.95,3.1,3.5
1.0,1.0,D,1.0,0.0,H,2.2,3.25,3.4,2.1,3.2,3.0
0.0,1.0,A,0.0,1.0,A,3.1,3.25,2.37,2.6,3.1,2.4
0.0,1.0,A,0.0,0.0,D,2.5,3.25,2.87,2.4,3.1,2.6
4.0,2.0,H,1.0,2.0,A,1.83,3.25,5.0,1.73,3.2,4.33
0.0,1.0,A,0.0,0.0,D,2.2,3.25,3.4,2.05,3.2,3.1
1.0,1.0,D,1.0,0.0,H,3.25,3.25,2.3,2.75,3.1,2.3
0.0,2.0,A,0.0,1.0,A,2.5,3.25,2.87,2.3,3.2,2.62
5.0,3.0,H,3.0,1.0,H,3.25,3.25,2.3,2.8,3.1,2.25
1.0,0.0,H,1.0,0.0,H,2.5,3.0,3.1,2.25,3.0,2.88
0.0,1.0,A,0.0,1.0,A,2.62,3.1,2.87,2.6,2.8,2.6
2.0,1.0,H,0.0,0.0,D,1.5,4.0,7.5,1.5,3.4,6.0
1.0,1.0,D,1.0,1.0,D,2.1,3.3,3.6,2.0,3.1,3.3
3.0,0.0,H,0.0,0.0,D,1.9,3.3,4.33,1.8,3.3,3.75
1.0,1.0,D,0.0,0.0,D,2.1,3.3,3.6,2.0,3.2,3.2
4.0,1.0,H,2.0,0.0,H,1.5,4.0,7.0,1.5,3.4,6.0
1.0,2.0,A,1.0,1.0,D,2.3,3.3,3.2,2.15,3.2,2.9
2.0,1.0,H,0.0,0.0,D,1.9,3.3,4.33,1.8,3.3,3.75
0.0,1.0,A,0.0,1.0,A,4.2,3.4,1.9,3.75,3.2,1.83
2.0,1.0,H,1.0,1.0,D,1.36,4.75,9.0,1.36,3.75,8.0
2.0,2.0,D,1.0,1.0,D,1.33,4.75,11.0,1.33,4.0,8.0
3.0,0.0,H,2.0,0.0,H,2.25,3.3,3.25,2.15,3.2,2.9
4.0,4.0,D,1.0,2.0,A,1.4,4.33,9.0,1.4,3.75,7.0
1.0,2.0,A,0.0,1.0,A,13.0,5.0,1.28,8.5,4.8,1.25
2.0,0.0,H,0.0,0.0,D,1.7,3.5,5.5,1.67,3.4,4.33
0.0,0.0,D,0.0,0.0,D,4.5,3.5,1.83,4.33,3.4,1.67
0.0,4.0,A,0.0,3.0,A,8.5,4.5,1.4,7.0,3.75,1.4
5.0,1.0,H,2.0,0.0,H,1.44,4.2,8.0,1.4,3.75,7.0
1.0,1.0,D,1.0,0.0,H,1.9,3.3,4.33,1.91,3.25,3.4
1.0,0.0,H,0.0,0.0,D,2.7,3.3,2.6,2.5,3.1,2.5
2.0,2.0,D,2.0,1.0,H,2.1,3.3,3.6,2.0,3.3,3.1
1.0,1.0,D,0.0,1.0,A,1.9,3.4,4.2,1.8,3.3,3.75
2.0,1.0,H,1.0,0.0,H,1.4,4.33,9.0,1.33,4.2,7.5
1.0,4.0,A,1.0,0.0,H,3.5,3.4,2.1,3.1,3.1,2.1
0.0,1.0,A,0.0,1.0,A,1.66,3.6,5.5,1.57,3.3,5.5
3.0,1.0,H,2.0,1.0,H,2.5,3.25,2.87,2.6,3.1,2.4
6.0,4.0,H,1.0,1.0,D,1.5,4.0,7.0,1.5,3.6,5.5
2.0,1.0,H,0.0,1.0,A,7.0,4.0,1.5,6.0,3.4,1.5
1.0,2.0,A,1.0,0.0,H,3.25,3.3,2.25,2.62,3.2,2.3
1.0,2.0,A,1.0,2.0,A,4.0,3.5,1.9,3.75,3.3,1.8
0.0,0.0,D,0.0,0.0,D,3.6,3.3,2.1,3.2,3.1,2.05
2.0,0.0,H,2.0,0.0,H,1.33,5.0,10.0,1.29,4.5,8.0
2.0,1.0,H,1.0,0.0,H,2.37,3.3,3.0,2.2,3.2,2.8
1.0,2.0,A,1.0,0.0,H,7.0,4.0,1.5,6.0,3.4,1.5
1.0,0.0,H,1.0,0.0,H,1.16,7.0,19.0,1.17,5.0,15.0
0.0,2.0,A,0.0,0.0,D,3.0,3.25,2.4,2.62,3.2,2.3
0.0,2.0,A,0.0,1.0,A,2.87,3.3,2.5,2.6,3.1,2.4
1.0,0.0,H,0.0,0.0,D,1.57,4.0,6.0,1.53,3.5,5.5
1.0,0.0,H,0.0,0.0,D,1.53,4.0,6.5,1.5,3.4,6.0
1.0,1.0,D,0.0,0.0,D,1.2,5.5,12.0,1.22,4.8,10.0
0.0,2.0,A,0.0,1.0,A,2.25,3.3,3.25,2.25,3.1,2.8
1.0,1.0,D,1.0,0.0,H,1.2,6.0,17.0,1.17,5.5,12.0
3.0,1.0,H,1.0,0.0,H,1.61,3.75,6.0,1.57,3.5,5.0
