FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
2.0,3.0,A,1.0,1.0,D,1.571,3.4,5.5,1.57,3.3,5.5
2.0,0.0,H,2.0,0.0,H,2.25,3.25,2.75,2.5,3.1,2.5
1.0,4.0,A,0.0,2.0,A,3.0,3.25,2.1,3.2,3.2,2.0
0.0,3.0,A,0.0,1.0,A,2.8,3.25,2.2,3.0,3.2,2.1
1.0,0.0,H,0.0,0.0,D,2.375,3.0,2.75,2.4,3.1,2.6
0.0,3.0,A,0.0,1.0,A,1.833,3.25,3.75,1.83,3.2,3.75
0.0,2.0,A,0.0,0.0,D,2.6,3.2,2.4,2.6,3.1,2.4
2.0,0.0,H,1.0,0.0,H,1.533,3.5,5.5,1.57,3.3,5.5
2.0,1.0,H,1.0,1.0,D,1.4,3.75,7.5,1.36,3.75,8.0
2.0,0.0,H,2.0,0.0,H,2.3,3.2,2.7,2.37,3.1,2.62
1.0,2.0,A,1.0,2.0,A,1.727,3.25,4.333,1.72,3.25,4.2
3.0,1.0,H,3.0,0.0,H,1.167,5.5,13.0,1.14,6.0,12.0
0.0,0.0,D,0.0,0.0,D,2.6,3.2,2.4,2.6,3.1,2.4
1.0,2.0,A,0.0,1.0,A,2.1,3.25,3.0,2.1,3.2,3.0
1.0,0.0,H,1.0,0.0,H,1.667,3.4,4.5,1.72,3.2,4.33
1.0,0.0,H,0.0,0.0,D,1.727,3.25,4.333,1.83,3.2,3.75
3.0,0.0,H,0.0,0.0,D,1.3,4.5,8.0,1.28,4.5,8.0
5.0,2.0,H,2.0,1.0,H,2.3,3.2,2.7,2.3,3.1,2.75
2.0,1.0,H,1.0,1.0,D,5.5,3.5,1.533,5.5,3.3,1.57
1.0,1.0,D,1.0,0.0,H,4.333,3.25,1.727,3.8,3.25,1.8
0.0,1.0,A,0.0,0.0,D,2.75,3.0,2.375,2.87,3.1,2.2
0.0,3.0,A,0.0,0.0,D,2.6,3.2,2.4,2.62,3.1,2.37
0.0,1.0,A,0.0,1.0,A,2.0,3.25,3.25,2.2,3.1,2.87
