FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
2,1,H,1,1,D,1.72,3.4,4.5,1.73,3.35,4.5,1.7,3.2,4.2,1.727,3.4,4.0,1.7,3.4,4.33,1.72,3.25,4.2
0,2,A,0,0,D,1.9,3.25,3.75,1.9,3.3,3.7,1.8,3.1,3.8,1.833,3.2,3.75,1.9,3.25,3.5,1.9,3.2,3.5
2,3,A,2,1,H,1.72,3.4,4.5,1.72,3.4,4.4,1.65,3.3,4.4,1.727,3.2,4.333,1.66,3.4,4.5,1.72,3.25,4.2
1,0,H,1,0,H,1.72,3.4,4.5,1.75,3.4,4.3,1.75,3.2,4.0,1.727,3.4,4.0,1.72,3.25,4.33,1.66,3.3,4.5
2,1,H,1,0,H,1.72,3.4,4.5,1.75,3.4,4.3,1.7,3.2,4.2,1.727,3.4,4.0,1.72,3.25,4.33,1.66,3.3,4.5
0,0,D,0,0,D,2.1,3.2,3.25,2.02,3.25,3.4,1.9,3.1,3.5,2.0,3.2,3.2,2.1,3.1,3.2,1.9,3.2,3.5
3,2,H,1,0,H,4.0,3.4,1.8,4.3,3.35,1.75,3.8,3.1,1.8,4.0,3.4,1.727,4.0,3.25,1.8,3.75,3.3,1.8
2,2,D,2,2,D,1.8,3.2,4.33,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.8,3.25,4.0,1.9,3.2,3.5
0,2,A,0,1,A,1.72,3.4,4.5,1.72,3.4,4.5,1.7,3.2,4.2,1.727,3.2,4.333,1.7,3.4,4.33,1.72,3.25,4.2
3,3,D,1,2,A,1.57,3.6,5.5,1.55,3.4,6.2,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.4,6.0
2,2,D,1,1,D,2.25,3.25,2.87,2.32,3.15,2.85,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.2,2.7,2.25,3.2,2.75
2,3,A,1,2,A,2.37,3.25,2.7,2.3,3.25,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.4,3.1,2.6
2,1,H,2,1,H,2.5,3.2,2.6,2.45,3.25,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.37,3.1,2.62
2,0,H,1,0,H,1.72,3.4,4.5,1.8,3.3,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.25,4.2,1.66,3.3,4.5
1,0,H,0,0,D,2.3,3.25,2.8,2.35,3.15,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.1,2.8,2.2,3.2,2.8
2,1,H,0,0,D,1.72,3.4,4.5,1.7,3.4,4.6,1.75,3.2,4.0,1.73,3.4,4.0,1.73,3.25,4.33,1.72,3.2,4.33
1,3,A,0,1,A,2.2,3.4,2.87,2.25,3.3,2.85,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3.0
2,1,H,0,1,A,1.8,3.4,4.0,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.4,4.0,1.83,3.2,3.75
1,0,H,0,0,D,1.44,3.75,6.5,1.51,3.75,6.0,1.55,3.5,4.8,1.5,3.4,6.0,1.44,3.75,6.5,1.44,3.75,6.0
1,4,A,0,2,A,2.7,3.2,2.3,2.8,3.2,2.35,2.7,3.0,2.3,2.75,3.25,2.2,2.8,3.25,2.2,2.75,3.2,2.25
1,2,A,0,1,A,4.5,3.4,1.66,5.0,3.4,1.67,4.2,3.2,1.7,4.333,3.4,1.667,4.5,3.4,1.66,4.2,3.25,1.72
1,0,H,0,0,D,2.0,3.25,3.25,2.1,3.25,3.2,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.2,3.2
2,2,D,1,0,H,2.25,3.25,2.75,2.1,3.25,3.2,2.1,3.1,3.0,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.2,3.0
0,3,A,0,2,A,2.4,3.2,2.6,2.55,3.15,2.6,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.0,2.6,2.4,3.25,2.5
0,1,A,0,0,D,2.25,3.25,2.75,2.25,3.25,2.9,2.1,3.1,3.0,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.25,2.75
1,1,D,1,0,H,1.9,3.25,3.5,1.9,3.3,3.75,1.8,3.2,3.7,1.909,3.25,3.4,1.85,3.25,3.75,1.9,3.2,3.5
1,1,D,1,1,D,1.57,3.4,5.5,1.51,3.75,6.0,1.45,3.8,5.4,1.4,3.75,7.0,1.53,3.4,6.0,1.5,3.6,5.5
4,1,H,2,0,H,1.33,4.33,7.5,1.41,4.0,7.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.33,4.0,8.0
4,0,H,0,0,D,2.2,3.25,2.8,2.2,3.25,3.0,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.2,2.87,2.1,3.2,3.0
0,1,A,0,1,A,2.8,3.25,2.2,3.25,3.25,2.1,3.2,3.1,2.0,3.2,3.2,2.0,3.1,3.2,2.1,3.2,3.2,2.0
