FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
0.0,1.0,A,0.0,0.0,0.0,3.4,3.25,2.25,3.0,3.2,2.3,3.4,3.2,2.2,3.1,3.2,2.25
2.0,1.0,H,0.0,1.0,0.0,2.6,3.2,2.8,2.4,3.2,2.85,2.62,3.2,2.7,2.6,3.2,2.62
4.0,0.0,H,1.0,0.0,0.0,1.25,5.5,13.0,1.22,5.3,13.0,1.22,5.5,15.0,1.25,5.5,10.0
2.0,0.0,H,2.0,0.0,0.0,1.4,4.2,10.0,1.43,4.0,7.6,1.4,4.2,9.0,1.4,4.0,8.5
1.0,1.0,D,0.0,0.0,0.0,2.1,3.25,3.75,2.1,3.25,3.4,2.05,3.25,3.75,2.1,3.2,3.4
3.0,1.0,H,1.0,1.0,0.0,2.88,3.25,2.5,2.55,3.2,2.65,2.88,3.2,2.5,2.7,3.2,2.5
0.0,1.0,A,0.0,0.0,0.0,2.4,3.25,3.0,2.3,3.2,3.0,2.38,3.25,3.0,2.4,3.2,2.9
2.0,3.0,A,2.0,2.0,0.0,6.5,4.0,1.53,6.0,3.7,1.55,6.5,3.8,1.53,6.5,3.6,1.53
3.0,0.0,H,1.0,0.0,0.0,1.5,4.0,7.0,1.55,3.7,6.0,1.44,4.2,7.5,1.5,3.6,6.5
3.0,0.0,H,1.0,0.0,0.0,1.8,3.3,5.0,1.75,3.5,4.6,1.8,3.4,4.6,1.83,3.25,4.33
4.0,3.0,H,1.0,1.0,0.0,1.57,4.0,6.0,1.6,3.6,5.6,1.62,3.75,5.5,1.6,3.6,5.5
2.0,1.0,H,1.0,0.0,0.0,2.5,3.25,2.88,2.4,3.2,2.85,2.5,3.2,2.88,2.5,3.2,2.7
1.0,2.0,A,0.0,1.0,0.0,2.2,3.25,3.4,2.1,3.25,3.4,2.2,3.3,3.25,2.1,3.2,3.2
2.0,1.0,H,1.0,1.0,1.0,3.1,3.25,2.38,2.85,3.2,2.4,3.1,3.3,2.25,2.9,3.25,2.2
