FTHG,FTAG,B365H,B365D,B365A
2,5,1.8,3.25,4
0,1,2.5,3.2,2.5
2,2,2.625,3.2,2.375
4,1,1.727,3.25,4.333
0,1,2.3,3.2,2.7
0,1,2.5,3.2,2.5
2,1,2.5,3.2,2.5
2,1,1.25,5,9
4,2,2.25,3.25,2.75
1,1,1.66,3.4,4.5
2,0,1.9,3.25,3.5
1,2,1.5,3.5,6
0,2,4,3.25,1.8
1,3,2.4,3.2,2.6
3,0,2.2,3.25,2.8
0,3,3.25,3.25,2
0,1,6.5,3.75,1.444
1,3,4,3.25,1.8
1,0,2.2,3.25,2.8
2,1,2.25,3.25,2.75
2,1,2.25,3.25,2.75
1,0,1.727,3.5,4
1,1,1.444,3.75,6.5
4,1,1.5,3.5,6
1,1,2.3,3.2,2.7
1,1,1.4,3.75,7.5
1,1,2.625,3.2,2.375
3,0,1.727,3.25,4.333
1,1,5.5,3.5,1.533
3,0,2.1,3.25,3
1,2,1.533,3.5,5.5
2,1,1.833,3.25,3.75
0,3,2.5,3.2,2.5
1,5,4.333,3.25,1.727
1,3,2.5,3,2.625
2,1,3.75,3.25,1.833
1,2,2.375,3.2,2.625
1,1,1.727,3.25,4.333
1,0,1.909,3.25,3.5
1,0,1.615,3.4,5
1,1,2.25,3.25,2.75
2,1,2,3.25,3.25
1,0,1.615,3.4,5
2,0,2.4,3.2,2.6
2,0,1.3,4.5,8
0,2,1.909,3.25,3.5
2,1,1.36,4,7.5
1,0,2.7,3.2,2.3
2,0,1.444,3.75,6.5
0,1,4.5,3.4,1.66
2,0,4,3.25,1.8
0,2,2.62,3.2,2.37
0,0,1.72,3.25,4.33
2,2,2.2,3.25,2.8
2,3,2.2,3.25,2.8
0,2,2.3,3.2,2.7
1,0,1.8,3.25,4
2,3,2.5,3.2,2.5
0,2,4.33,3.25,1.72
1,0,1.833,3.25,3.75
5,0,1.571,3.6,5
3,0,1.286,4.5,9
1,1,1.909,3.25,3.5
5,1,1.615,3.4,5
2,2,1.8,3.25,4
2,0,1.667,3.4,4.5
2,1,1.444,3.75,6.5
3,1,1.571,3.4,5.5
1,0,2.3,3.2,2.7
1,1,4.5,3.4,1.667
2,0,2.2,3.25,2.8
1,6,1.909,3.25,3.5
4,0,1.727,3.25,4.333
3,0,1.533,3.5,5.5
1,1,2,3.25,3.25
1,2,5,3.4,1.615
2,1,1.727,3.25,4.333
2,1,2.5,3.2,2.5
0,4,2.25,3.25,2.75
2,0,1.667,3.4,4.5
1,0,1.727,3.25,4.333
1,0,1.5,3.5,6
2,2,1.909,3.25,3.5
2,0,1.444,3.5,7.5
0,0,2.2,3.25,2.8
2,6,2.625,3.2,2.375
1,2,3.5,3.25,1.909
2,2,2,3.25,3.25
2,2,2.25,3.25,2.75
0,2,1.8,3.25,4
2,1,2.8,3.25,2.2
1,0,2.2,3.25,2.8
0,2,2.1,3.25,3
1,2,2.5,3.2,2.5
2,1,3,3.25,2.1
3,1,1.3,4.5,8
0,2,3.75,3.25,1.833
3,2,2.2,3.25,2.8
1,2,2.1,3.25,3
3,2,2.1,3.25,3
0,0,1.8,3.4,3.6
4,1,1.727,3.2,4.333
2,1,1.4,3.75,7
3,0,1.571,3.6,5
1,1,1.5,3.4,6
2,3,3,3.25,2.1
1,0,1.833,3.5,3.5
2,0,1.667,3.4,4.5
3,0,2.1,3.25,3
2,2,5,3.6,1.571
2,1,2.2,3.25,2.8
1,1,1.4,4,6.5
2,1,1.8,3.25,4
2,3,2,3.4,3
0,1,4.5,3.4,1.667
0,6,5,3.6,1.571
0,1,2.2,3.4,2.75
0,2,5,3.4,1.615
1,0,1.4,3.75,7.5
1,1,1.286,4.5,9
2,0,2.4,3.2,2.6
1,2,1.333,4.333,7.5
4,1,1.143,6.5,12
5,1,2.1,3.25,3
1,0,1.4,3.75,7.5
0,0,2.375,3.6,2.375
1,0,2.5,3.4,2.375
2,3,1.3,4.5,8
6,1,1.444,3.75,6.5
2,2,3.25,3.5,1.909
2,1,1.571,3.6,5
0,1,2.1,3.25,3
2,1,2.375,3,2.75
1,2,2.5,3.4,2.375
3,1,1.833,3.25,3.75
0,1,1.615,3.4,5
0,4,5,3.4,1.615
0,4,2.5,3.5,2.3
2,2,4,3.5,1.727
2,1,1.4,3.8,8
1,0,2.375,3.25,2.75
5,1,1.615,3.4,5.5
3,2,2.3,3.25,2.8
2,2,2.5,3.2,2.6
4,0,1.286,4.5,10
2,1,2.375,3.25,2.75
0,3,2.25,3.4,2.75
2,2,2.75,3.25,2.375
1,2,2.25,3.25,2.875
2,2,2.5,3.3,2.5
2,1,1.25,5,10
3,1,1.8,3.4,4
1,1,1.667,3.6,4.5
1,2,3,3.2,2.2
0,0,1.909,3.25,3.75
2,1,2,3.25,3.4
0,4,2.375,3.25,2.7
0,0,3,3.2,2.2
0,4,4,3.4,1.8
2,3,2,3.25,3.4
2,2,2.375,3.2,2.75
0,0,2,3.25,3.4
0,0,2.5,3.2,2.6
4,0,2.1,3.25,3.2
2,0,1.286,5,8.5
0,0,1.5,3.5,7
1,0,1.143,6.5,15
3,1,1.667,3.4,5
0,0,2.3,3.25,2.8
2,2,1.5,3.6,6.5
