FTHG,FTAG,B365H,B365D,B365A
3,2,1.83,3.3,4.33
0,1,2.37,3.2,2.9
3,2,1.83,3.25,4.5
0,0,2.3,3.25,3
1,0,2.6,3.2,2.62
0,1,2.1,3.25,3.4
1,1,1.57,3.5,6.5
3,2,2.75,3.2,2.5
2,2,2.87,3.2,2.4
0,1,2.5,3.1,2.8
2,2,2.5,3.1,2.8
1,2,2,3.1,4
1,1,6.5,3.5,1.57
1,1,1.44,4,7.5
4,0,1.8,3.1,5
0,0,2.75,3.2,2.5
0,1,2.2,3.2,3.25
4,0,1.16,6.5,15
5,2,1.22,5.5,13
3,0,1.9,3.1,4.33
5,1,1.72,3.4,5
3,1,1.9,3.1,4.33
0,1,6.5,3.5,1.57
2,1,2,3.2,3.75
2,0,1.25,5,13
2,0,2.62,3.2,2.62
2,2,2.6,3.25,2.6
1,0,1.3,4.5,12
0,1,2.5,3.2,2.75
2,1,1.9,3.25,4
2,0,1.28,5,10
0,2,3,3.25,2.3
0,0,2.6,3.25,2.6
0,5,5.5,3.4,1.66
0,1,4.75,3.5,1.72
0,1,2,3.2,3.75
2,0,2.62,3.2,2.6
2,3,2.37,3.2,2.9
1,0,1.36,4.33,9
1,1,1.53,3.75,6.5
2,0,1.5,3.75,7
0,2,6.5,3.75,1.53
1,1,1.57,3.5,6.5
0,1,3.75,3.5,1.9
1,0,1.9,3.1,4.33
1,1,1.66,3.4,5.5
1,3,6,3.4,1.61
3,1,2,3.2,3.75
0,1,3.1,3.2,2.25
2,1,1.72,3.4,5
0,2,3.5,3.2,2.1
2,1,1.9,3.1,4.33
1,1,1.66,3.4,5.5
5,2,2.25,3.2,3.1
1,0,2.3,3.2,2.7
2,0,2.5,3.2,2.5
1,2,4.33,3.4,1.66
0,0,3.6,3.4,1.83
1,1,1.28,4.5,9
1,2,1.8,3.25,4
2,0,1.36,4,7.5
2,1,1.72,3.25,4.33
0,0,1.4,3.75,7.5
3,3,2.37,3.2,2.62
3,0,1.72,3.4,5
1,0,6.5,3.5,1.57
3,1,2.2,3.1,3.4
0,1,2.62,3.2,2.6
3,1,1.72,3.4,5
2,1,1.57,3.5,6.5
0,1,2.2,3.1,3.4
0,2,4.5,3.25,1.83
1,0,1.8,3.1,5
1,1,2.2,3.1,3.4
1,2,1.9,3.1,4.33
3,0,1.2,6,13
3,0,3.1,3.2,2.25
0,1,1.83,3.3,4.33
3,1,1.33,4.5,9.5
4,4,3.1,3.2,2.25
2,0,4.5,3.25,1.83
2,0,3,3.25,2.3
1,0,1.44,4,7.5
0,1,2.3,3.1,3.1
2,4,2.25,3.1,3.2
3,1,2.37,3.25,2.87
1,2,2.87,3.2,2.4
2,1,2.6,3.2,2.62
2,2,2.2,3.2,3.25
2,1,1.9,3.1,4.33
0,1,7,3.75,1.5
1,0,1.57,3.4,7
1,1,2.25,3.2,3.1
1,1,2.37,3.25,2.87
1,3,4.5,3.4,1.8
0,1,2.5,3.25,2.75
3,1,1.5,3.75,7
2,0,1.28,5,10
1,0,1.8,3.4,4.5
1,1,1.8,3.4,4.5
3,2,2.3,3.25,3
3,1,1.72,3.4,5
0,0,1.25,5.5,11
2,2,2.63,3.2,2.63
2,0,3.2,3.2,2.2
3,0,1.8,3.4,4.5
0,0,2.1,3.2,3.5
0,1,4.5,3.25,1.83
1,2,2.3,3.25,3
0,2,4.5,3.4,1.8
5,1,1.22,5.5,13
0,0,2.3,3.25,3
1,3,2.25,3.2,3.1
2,0,2.6,3.2,2.62
2,1,1.22,5.5,13
1,1,6.5,3.5,1.57
2,0,1.8,3.1,5
2,2,1.9,3.1,4.33
2,1,1.83,3.3,4.33
2,3,2.6,3.2,2.62
3,0,1.36,4.33,9
2,0,2.3,3.25,3
0,0,7.5,3.6,1.5
0,0,2.3,3.25,3
1,0,2.4,3.2,2.87
1,3,7.5,4.33,1.4
1,0,2.5,3.2,2.75
0,1,1.72,3.4,5
2,0,2.75,3.2,2.5
0,1,2.25,3.2,3.1
1,0,1.2,6,13
2,0,2.37,3.25,2.87
0,0,1.57,3.5,6.5
0,1,4.5,3.4,1.8
1,0,1.57,3.6,6
1,4,1.66,3.4,5.5
4,1,1.2,6,13
1,0,1.25,5,13
1,1,2.75,3.2,2.5
2,1,1.83,3.3,4.33
2,0,2.3,3.1,3.1
2,1,1.9,3.1,4.33
1,3,1.8,3.4,4.5
4,1,1.2,6,13
1,1,2.37,3.2,2.9
2,2,2,3.2,3.75
0,1,2.37,3.2,2.9
1,0,1.83,3.25,4.5
0,0,1.28,5,10
0,3,1.72,3.4,5
1,3,6.5,3.5,1.57
3,1,2.1,3.25,3.4
1,0,2.75,3.2,2.5
3,0,2.1,3.2,3.5
3,1,1.72,3.4,5
1,1,1.25,5.5,11
1,0,2.87,3.2,2.4
0,1,5,3.1,1.8
2,0,7.5,4,1.44
4,2,2.3,3.25,3
1,1,1.83,3.25,4.5
4,0,1.66,3.4,5.5
1,0,2.1,3.25,3.4
0,0,1.9,3.1,4.33
1,2,2.4,3.2,2.87
3,3,2,3.2,3.75
1,1,2.3,3.25,3
2,2,1.83,3.25,4.5
2,3,2.2,3.2,3.25
1,1,1.61,3.6,5.5
1,1,1.83,3.3,4.33
0,0,1.9,3.1,4.33
1,0,1.9,3.3,4
0,0,2.1,3.2,3.5
1,0,4,3.3,1.9
3,0,2,3.2,3.75
2,1,2.5,3.4,2.62
1,2,3.2,3.25,2.2
1,1,1.66,3.4,5.5
1,1,2.37,3.25,2.87
0,0,2.3,3.25,3
3,1,1.28,5,10
1,0,3.75,3.5,1.9
1,1,1.66,3.4,5.5
4,0,1.9,3.3,4
1,0,2.25,3.4,3
2,1,1.36,4.5,8.5
4,1,2.25,3.25,3.1
1,0,1.5,3.75,7
1,1,2.1,3.25,3.5
0,0,2.25,3.25,3.1
2,1,2.2,3.2,3.25
0,2,3.75,3.2,2
2,0,2.75,3.2,2.5
1,1,1.72,3.4,5
2,0,1.72,3.4,5
0,0,1.83,3.3,4.33
4,3,2,3.4,3.5
0,4,6,3.4,1.61
5,1,1.9,3.3,4
0,2,5,3.6,1.66
1,3,2.2,3.4,2.75
1,2,2.37,3.25,2.87
1,3,2.1,3.25,3.4
1,0,1.28,5,10
2,2,2.2,3.4,3
2,0,1.72,3.4,5
1,1,1.3,5,9
1,0,2.25,3.2,3.1
1,0,1.9,3.5,3.75
1,1,2.75,3.4,2.4
3,1,1.72,3.4,5
1,3,2.2,3.25,3.2
7,0,1.61,3.6,5.5
2,1,3.4,3.5,2
3,2,1.9,3.4,4
2,2,3,3.5,2.2
6,0,2.8,3.5,2.3
2,1,1.66,3.4,5.5
1,1,2.1,3.1,3.6
1,1,3.2,3.25,2.2
1,2,2.37,3.6,2.62
0,0,1.57,3.5,6.5
2,0,1.57,3.75,6
2,2,2.3,3.25,3
0,2,5,3.4,1.72
0,0,2.37,3.25,2.87
0,0,1.72,3.4,5
0,0,2.87,3.2,2.4
0,2,2.75,3.2,2.5
1,3,2.37,3.2,2.9
3,1,2.5,3.2,2.75
2,0,1.4,4.2,8
0,1,10,4.5,1.33
1,2,2.2,3.2,3.25
2,1,2,3.2,3.75
1,0,1.8,3.4,4.33
1,0,1.28,5,10
1,0,1.22,5.5,13
0,0,1.61,3.6,5.5
2,0,1.9,3.3,4
2,1,2.2,3.2,3.25
0,1,2.1,3.2,3.5
1,0,2,3.2,3.75
0,3,2.5,3.2,2.75
1,1,2.5,3.2,2.75
1,2,2.75,3.2,2.5
4,1,1.22,5.5,13
0,0,2.62,3.2,2.6
2,0,2.3,3.25,3
4,0,1.2,5.5,17
1,0,2.1,3.25,3.4
1,0,2.5,3.2,2.75
2,1,1.61,3.6,5.5
0,2,4.33,3.3,1.83
2,3,2.37,3.1,3
1,2,2.5,3.2,2.75
1,0,2.1,3.25,3.4
0,3,1.83,3.3,4.33
0,2,5,3.6,1.66
0,1,2.37,3.25,2.87
2,0,1.12,7.5,19
0,1,1.72,3.3,5
1,1,1.4,3.75,10
2,1,5,3.3,1.72
1,1,1.61,3.4,6
0,0,2.5,3.2,2.75
1,2,2,3.2,3.75
0,0,2,3.2,3.75
4,0,2.5,3.2,2.75
1,1,2.6,3.25,2.6
0,2,6,3.6,1.57
1,2,2.2,3.1,3.3
1,1,2.3,3.25,3
1,1,2.37,3.2,2.9
0,3,2.4,3.25,2.8
0,0,2.7,3.1,2.6
0,1,2.1,3.25,3.4
1,1,2.7,3.1,2.6
2,0,1.4,4,9
2,2,3.4,3.25,2.1
1,0,1.72,3.4,5
2,1,1.22,5.5,13
0,1,1.9,3.25,4
1,2,1.3,4.33,13
1,0,2.1,3.25,3.4
1,2,2.75,3.2,2.5
0,0,5,3.4,1.72
0,2,1.57,3.5,6.5
1,0,1.61,3.4,6
2,0,1.8,3.3,4.5
2,3,2.5,3.2,2.75
2,3,5,3.6,1.66
0,0,2.8,3.25,2.4
1,1,2.5,3.2,2.75
1,0,1.33,4.5,9.5
2,3,2.1,3.25,3.4
1,4,3.25,3,2.3
2,0,1.83,3.3,4.33
2,1,2.6,3.2,2.62
5,1,1.28,4.5,13
1,0,1.61,3.4,6
1,1,1.72,3.3,4.5
1,3,7.5,3.6,1.5
2,0,1.61,3.4,6
2,1,6,3.4,1.61
1,0,2.6,3.25,2.6
0,1,2.37,3.1,3
2,1,1.9,3.25,4
1,1,1.83,3.25,4.5
1,0,1.5,3.75,7
0,2,2,3.2,3.75
2,0,2,3.2,3.75
2,0,3.5,3.2,2.1
1,1,1.61,3.4,6
1,2,2.6,3.25,2.6
2,0,1.72,3.4,5
1,1,9,4.33,1.36
3,2,1.66,3.4,5.5
2,1,2.37,3.25,2.87
0,1,2.3,3.25,3
0,1,2.1,3.2,3.5
4,2,1.22,5.5,13
2,0,1.57,3.5,6.5
4,1,4.5,3.3,1.8
1,4,2.25,3.2,3.1
1,1,2.8,3.1,2.5
1,0,2.1,3.2,3.5
0,3,3,3.25,2.3
3,1,1.83,3.25,4.5
3,1,1.2,6,13
0,2,3.2,3.25,2.2
4,1,2.3,3.1,3.1
2,1,2.5,3.2,2.75
1,0,1.61,3.4,6
0,2,2.3,3.25,3
1,0,1.83,3.3,4.33
1,0,2.5,3.2,2.75
1,0,3.25,3.2,2.2
1,0,2.4,3.25,2.62
1,3,4,3.25,1.9
3,0,1.33,4.5,9.5
3,0,1.4,4,9
0,0,1.9,3.25,4
1,3,2.5,3.2,2.75
4,0,2.5,3.2,2.75
2,3,4.5,3.3,1.8
3,2,1.9,3.25,4
1,1,1.66,3.4,5.5
3,0,1.36,4.33,9
1,0,2.25,3.2,3.1
0,1,2.8,3.1,2.5
0,2,9,4.33,1.36
0,1,2.5,3.2,2.75
1,2,2.75,3.2,2.5
1,0,2.5,3.2,2.75
2,1,2.37,3.25,2.87
2,2,1.72,3.4,5
1,2,5,3.3,1.72
0,2,7,3.75,1.5
0,2,2,3.2,3.75
2,0,4.33,3.3,1.83
1,0,1.25,5,13
3,0,1.53,3.5,7
3,0,1.2,5.5,17
1,1,1.72,3.4,5
3,2,1.33,4.33,10
0,0,2.37,3.2,2.9
2,5,2.4,3.2,2.87
1,2,2.3,3.25,3
1,0,2.3,3.25,3
3,2,2,3.2,3.75
1,1,1.83,3.3,4.33
2,0,1.66,3.4,5.5
1,0,1.2,5.5,17
2,0,1.57,3.6,6
1,0,4,3.25,1.9
2,0,2.8,3.25,2.4
1,1,1.3,4.5,12
3,1,1.44,4,7.5
1,2,2.1,3.2,3.5
4,0,1.3,4.5,11
0,2,5.5,3.4,1.66
0,4,2.37,3.25,2.87
2,1,2.3,3.25,3
4,1,1.8,3.2,5
1,0,2.2,3.2,3.25
2,4,2.5,3.2,2.75
3,0,2.3,3.25,3
0,2,2.87,3.1,2.5
3,3,2.5,3.2,2.75
4,0,2.1,3.2,3.5
0,1,5,3.4,1.72
3,2,1.2,5.5,17
2,0,1.66,3.4,5.5
3,0,1.22,5.5,13
0,2,2,3.2,3.75
1,1,2.37,3.2,2.9
0,0,4,3.25,1.9
2,0,1.5,3.75,7
4,3,2.4,3.2,2.87
4,0,1.22,5.5,13
2,2,7.5,4.33,1.4
1,3,5,3.4,1.72
3,3,2.1,3.25,3.4
0,1,6,3.6,1.57
2,0,3.4,3.25,2.1
0,2,2.1,3.25,3.4
0,0,5.5,3.6,1.61
2,0,2.2,3.25,3.2
2,0,1.14,7,17
1,0,1.22,5.5,13
4,1,1.4,4.33,7.5
0,0,2.25,3.25,3.1
1,0,2.4,3.2,2.87
0,1,2.6,3.25,2.6
2,0,2,3.2,3.75
0,3,2.2,3.2,3.25
2,0,2.4,3.2,2.87
2,1,1.66,3.4,5.5
2,2,3.75,3.2,2
3,1,2.3,3.25,3
2,1,1.57,3.5,6.5
2,2,2.1,3.1,3.6
1,2,2.5,3.2,2.75
1,3,9,4,1.4
0,0,2.62,3.1,2.75
0,2,2.5,3.1,2.8
7,0,1.33,4.33,8
1,2,2,3.2,3.75
0,0,2.1,3.25,3.4
2,0,2,3.2,3.75
1,0,2.37,3.25,2.87
1,0,1.66,3.4,5.5
3,1,4.5,3.3,1.8
0,1,2.2,3.25,3.2
1,2,17,5.5,1.2
0,1,1.83,3.3,4.33
5,0,2.1,3.2,3.5
2,0,2.25,3.2,3.1
1,0,5.5,3.5,1.66
2,3,2.2,3.2,3.25
0,1,2.3,3.25,3
0,0,1.61,3.4,6
0,1,1.72,3.4,5
1,1,1.16,6.5,15
1,0,2.3,3.1,3.1
2,1,2.1,3.2,3.5
0,0,1.83,3.3,4.33
1,0,2.75,3.2,2.5
0,3,2.75,3.2,2.5
1,1,2.25,3.1,3.2
2,3,1.4,4.33,7.5
1,1,7.5,4,1.44
4,3,4,3.25,1.9
1,1,1.3,4.5,12
3,0,2.1,3.25,3.4
1,1,2.8,3.25,2.4
0,2,3.5,3.2,2.1
1,1,1.9,3.25,4
1,0,2.2,3.2,3.25
4,2,1.3,4.5,12
0,4,2.25,3.2,3.1
2,0,1.8,3.3,4.5
2,0,2.9,3.2,2.37
2,0,1.5,3.75,7
2,0,1.9,3,4.5
3,1,1.8,3.2,4.75
2,0,4.5,3.3,1.8
1,1,1.5,4,6
1,2,2.2,3.2,3.25
1,0,2.25,3.2,3.1
6,1,1.83,3.3,4.33
3,0,7.5,4.33,1.4
1,3,6,3.8,1.53
0,1,3.75,3.2,2
3,2,1.9,3.25,4
1,1,6,3.6,1.57
3,0,1.9,3.25,4
1,0,2.1,3.1,3.6
2,0,1.5,3.75,7
2,2,1.66,3.6,5
0,0,1.9,3.25,4
1,0,1.66,3.4,5.5
1,0,3.1,3.25,2.25
0,0,2.1,3.25,3.4
2,0,1.14,7,17
2,0,2.1,3.2,3.5
2,1,1.8,3.3,4.5
1,0,1.53,3.8,6
0,2,2.4,3.25,2.8
1,0,1.72,3.6,4.5
0,4,3.2,3.25,2.2
0,0,1.5,3.75,7
1,0,1.9,3.3,4
3,1,2.3,3.25,3
1,2,8.5,4.1,1.4
2,2,2.1,3.25,3.4
2,1,1.4,4.33,7.5
3,2,1.9,3.3,4
1,2,5,3.6,1.66
1,1,2,3.2,3.75
2,0,1.83,3.25,4.5
4,1,2,3.25,3.75
2,1,1.44,4,7.5
3,1,1.83,3.25,4.5
2,1,2.8,3.25,2.4
0,1,3,3.25,2.3
2,1,2.25,3.2,3.1
2,1,2.2,3.2,3.2
2,0,1.4,4.33,7.5
5,1,1.36,4.33,9
3,0,1.3,4.5,9.5
0,2,3.25,3.2,2.2
3,2,1.83,3.25,4.5
2,0,1.33,4.5,9.5
4,1,1.8,3.3,4.5
0,1,2.1,3.2,3.5
1,2,6,4,1.5
2,4,2,3.2,3.75
1,0,8,4.2,1.4
1,3,2.87,3.25,2.37
0,0,2,3.2,3.75
2,0,1.25,5,13
3,1,1.57,3.6,6
0,1,5,3.6,1.66
1,2,2,3.2,3.75
3,1,2.3,3.25,3
3,0,1.18,6,17
4,3,2.6,3.2,2.62
2,1,1.44,4,7.5
1,0,1.28,5.5,8.5
5,0,1.28,5,10
0,0,9,5,1.3
1,2,4,3.25,1.9
2,2,1.36,4.33,9
1,3,1.9,3.3,4
3,1,2.62,3.2,2.6
0,2,6,3.8,1.53
0,1,2,3.25,3.75
0,0,2.1,3.2,3.5
1,1,1.8,3.3,4.5
1,0,2.75,3.2,2.5
0,0,2.3,3.1,3.1
2,2,2.5,3.2,2.75
2,1,1.61,3.6,5.5
1,1,1.9,3.4,3.8
0,0,1.9,3.25,4
4,1,1.25,5.5,13
1,0,1.44,4.2,7
2,0,2.1,3.2,3.5
1,2,2.4,3.2,2.87
1,1,5,3.6,1.66
0,0,1.1,8,26
3,1,1.22,5.5,13
0,2,5.5,3.6,1.61
0,1,2.5,3.25,2.7
2,1,2,3.25,3.75
3,1,1.83,3.3,4.33
1,0,1.72,3.6,4.5
1,0,2.1,3.2,3.5
3,1,2.4,3,3
0,1,3.25,3.2,2.2
2,1,2.25,3.25,2.8
3,0,1.2,5.5,11
2,0,2.5,3.25,2.5
1,4,4,3.2,1.83
1,2,3.2,3.2,2.1
0,0,2.5,3.25,2.5
3,2,1.9,3.25,3.6
2,1,2.5,3.25,2.5
1,1,1.66,3.4,5.5
4,1,1.83,3.3,4.33
0,0,2.1,3.25,3.4
3,0,1.8,3.3,4.5
2,1,1.36,4.33,9
1,0,2,3.2,3.75
0,1,2.1,3.25,3.4
1,2,4.75,3.5,1.72
0,0,2.5,3.2,2.75
0,2,2.75,3.2,2.5
3,0,2.1,3.1,3.6
3,1,1.36,4.33,9
1,2,1.9,3.25,4
0,1,2.5,3.2,2.75
1,2,2.4,3.25,2.8
1,0,1.61,3.6,5.5
0,0,1.25,5.5,10
0,3,10,5,1.28
0,1,2.3,3.25,3
1,0,3,3.4,2.2
1,1,1.57,3.8,5.5
1,3,5.5,3.6,1.61
2,1,3.2,3.25,2.2
4,2,1.2,6,13
2,1,1.53,3.8,6
2,0,1.66,3.4,5.5
1,0,1.61,3.6,5.5
2,2,1.66,3.4,5.5
1,0,1.66,3.4,5.5
4,0,1.2,6,13
1,0,3,3.25,2.3
1,3,5,3.8,1.61
2,1,4.5,3.6,1.72
1,1,1.28,4.5,13
2,0,2.62,3.2,2.6
2,1,1.66,3.4,5.5
2,1,1.72,3.5,4.75
3,0,2.3,3.1,3.1
3,2,2.5,3.1,2.8
1,1,6,3.8,1.53
3,1,2,3.2,3.75
3,0,1.22,5.5,13
5,1,1.22,5.5,13
2,0,1.5,3.75,7
1,1,2.87,3.2,2.4
2,1,1.9,3.25,4
1,1,2.3,3.1,3.1
0,3,7.5,3.6,1.5
1,1,2.4,3.2,2.87
0,0,2.2,3.1,3.1
2,1,8.5,3.75,1.44
2,0,2.5,3.1,2.8
1,0,1.9,3.25,4
2,1,1.44,4,7.5
1,0,5.5,3.6,1.61
0,2,1.72,3.4,5
1,2,7.5,4.33,1.4
1,0,1.9,3.25,4
2,0,2.37,3.1,3
0,2,6.5,3.6,1.53
0,4,2,3.2,3.75
1,1,1.33,4.33,10
1,0,1.66,3.4,5.5
2,1,1.2,5.5,17
3,0,3.75,3.2,2
1,0,1.5,3.75,7
1,2,1.72,3.4,5
1,0,1.83,3.25,4.5
0,0,2.62,3.2,2.62
1,1,2.1,3.2,3.5
1,0,2.3,3.1,3.1
0,0,2,3.2,3.75
0,1,2.3,3.25,3
2,2,1.72,3.4,5
1,2,2.5,3.1,2.8
0,0,2.75,3.2,2.5
4,2,2,3.2,3.75
1,0,1.83,3.25,4.5
0,1,1.9,3.25,4
0,0,1.61,3.4,6
0,2,2.1,3.2,3.5
2,0,1.53,3.6,6.5
3,0,1.2,5.5,17
2,0,1.8,3.4,4.33
0,2,7.5,4.33,1.4
3,0,1.61,3.75,5.25
2,0,2.25,3.2,3.1
0,1,2.1,3.1,3.5
1,1,7,3.75,1.5
1,1,1.83,3.3,4.33
1,1,2.2,3.2,3.25
0,1,1.9,3.25,4
2,0,3.75,3.2,2
1,2,6.5,3.6,1.53
1,1,1.3,5,8.5
1,1,1.83,3.3,4.33
2,1,2.6,3.25,2.6
2,1,1.9,3.25,4
2,0,1.3,4.33,13
2,1,1.8,3.25,4.5
0,1,1.9,3.25,4
3,3,2.4,3.2,2.87
3,0,1.16,6.5,15
1,1,2.25,3.1,3.2
1,1,1.44,4,7.5
0,0,1.66,3.6,5
2,1,2.6,3.1,2.7
2,0,2,3.2,3.75
0,1,7.5,4.33,1.4
1,3,6,3.8,1.53
1,2,2.25,3.2,3.1
2,1,2.1,3.1,3.6
1,1,1.72,3.4,5
0,0,1.9,3.25,4
2,1,1.28,5,10
2,0,1.57,3.5,6.5
4,0,2.3,3.1,3.1
0,1,2.37,3.1,2.75
2,0,1.9,3.25,4
1,0,2.4,3.1,2.87
0,4,5.5,3.6,1.61
1,0,1.8,3.3,4.5
1,1,1.4,4,9
0,4,4.33,3.3,1.83
0,1,2.1,3.25,3.4
3,1,1.53,3.6,6.5
0,0,1.8,3.3,4.5
3,1,1.8,3.3,4.5
0,2,12,4.5,1.3
0,0,3.6,3.3,2
2,1,2.5,3.2,2.75
1,0,2.37,3.1,3
0,1,1.9,3.25,4
1,0,2.3,3.1,3.1
1,0,2.8,3.1,2.5
2,0,1.33,4.5,9.5
3,0,1.3,5,9
0,1,1.72,3.4,5
2,0,2.6,3,2.8
2,0,2,3.2,3.75
2,1,5,3.4,1.72
1,0,5.5,3.6,1.61
0,1,5.5,3.6,1.61
4,0,1.12,7,23
0,1,2,3.2,3.75
0,0,2.1,3.2,3.5
1,0,2.2,3.2,3.25
1,1,1.83,3.3,4.33
2,2,2.9,3.2,2.37
3,2,1.9,3.25,4
3,0,2,3.2,3.75
3,1,3.1,3.2,2.25
1,1,1.25,5,13
1,0,1.18,5.75,17
1,0,2.4,3.2,2.87
3,1,2.1,3.2,3.5
0,0,3.75,3.2,2
2,1,1.61,3.6,5.5
2,0,1.9,3.25,4
1,2,9,4.33,1.36
1,1,2.4,3.2,2.87
0,0,2.37,3.2,2.9
1,1,1.8,3.3,4.5
3,1,3.6,3.3,2
1,1,2.7,3.25,2.5
0,1,2.2,3.1,3.3
1,0,1.44,3.75,8.5
1,0,1.8,3.3,4.5
1,1,2.5,3.1,2.8
1,0,2.3,3.1,3.1
3,1,1.8,3.3,4.5
0,1,2.2,3.1,3.3
1,3,1.83,3.3,4.33
0,1,5,3.6,1.66
2,1,6,3.6,1.57
0,0,1.44,4,7.5
3,0,1.33,4.5,9.5
3,0,1.66,3.5,5
2,0,1.9,3.25,4
1,2,6,3.6,1.57
2,2,2.2,3.2,3.25
1,0,2.4,3.2,2.87
2,1,2.2,3.1,3.3
0,4,3.75,3.2,2
2,0,1.9,3.25,4
0,0,1.57,3.6,6
1,0,2.5,3.1,2.8
2,1,1.72,3.4,5
3,2,1.9,3.25,4
0,2,2,3.3,3.6
1,3,2.15,3.25,3.4
4,0,1.75,3.3,5
4,0,1.33,4.5,9.5
3,1,1.36,4.33,9
1,1,2.05,3.2,3.6
2,0,2.2,3.2,3.25
5,1,1.53,4,6
0,0,2.6,3.2,2.62
1,1,1.72,3.4,5
2,2,2.62,3.2,2.6
1,0,1.2,6,13
0,1,4.75,3.5,1.72
2,2,1.4,4.33,7.5
0,1,2.4,3.2,2.87
0,3,6,3.8,1.53
2,1,1.72,3.4,5
1,2,2.1,3.25,3.4
0,1,1.8,3.4,4.33
2,3,5.5,3.8,1.57
1,2,2.5,3.2,2.75
1,0,6.5,4,1.44
2,1,2.25,3.2,3.1
6,2,1.33,4.5,9.5
0,3,5.5,3.6,1.61
0,0,2.37,3.25,2.87
2,0,1.2,6,13
0,2,2.4,3.25,2.87
2,0,1.72,3.4,5
3,1,2.5,3.2,2.75
3,1,1.66,3.6,5
0,2,2.3,3.25,3
2,3,7.5,4.33,1.4
1,0,4.2,3.4,1.83
2,1,1.9,3.3,4
2,2,1.18,6,15
0,0,1.83,3.25,4.5
3,1,1.18,6,15
0,1,2.3,3.25,3
2,1,1.8,3.2,4.75
1,2,8,4.2,1.4
1,2,2.25,3.2,3.1
2,2,2.5,3.25,2.7
2,1,2,3.2,3.75
3,2,2,3.2,3.75
2,1,2.6,3.2,2.62
2,2,1.14,6.5,21
3,0,2.1,3.25,3.4
3,2,1.2,6,13
1,0,6,4,1.5
0,1,2.6,3.2,2.62
0,1,2.1,3.2,3.5
0,0,1.66,3.4,5.5
3,0,1.61,3.4,6
2,1,2.37,3.2,2.9
3,1,1.8,3.4,4.5
2,2,6.5,3.75,1.53
1,1,2.4,3.2,2.87
6,0,2.1,3.2,3.5
0,3,2.37,3.2,2.9
4,0,1.22,5.5,13
0,0,6.5,3.75,1.53
0,2,4.2,3.4,1.83
0,0,1.8,3.25,4.75
1,3,2.5,3.2,2.75
4,0,1.2,6,13
3,1,1.25,5.5,11
1,1,2.6,3.2,2.62
0,3,6.5,3.75,1.53
3,3,2.1,3.3,3.4
1,1,2,3.2,3.75
2,3,1.8,3.4,4.5
2,0,1.57,3.6,6
1,1,2.87,3.2,2.4
2,0,2.87,3,2.5
0,3,2.25,3.2,3.1
5,1,2.5,3.2,2.75
2,2,1.8,3.4,4.33
0,1,1.57,3.8,5.5
3,1,1.83,3.3,4.33
2,1,2.5,3.1,2.8
0,2,2.5,3.2,2.75
2,1,3.4,3.25,2.1
0,0,1.9,3.3,4
3,2,1.8,3.3,4.5
2,0,2.4,3.2,2.87
1,2,5,3.6,1.66
1,1,1.5,4,6
3,0,1.28,5,10
4,0,1.14,7,17
3,1,2.1,3.2,3.5
1,0,1.83,3.3,4.33
2,1,1.72,3.5,4.75
0,1,8,4.5,1.36
2,1,2.3,3.25,3
0,0,1.57,3.6,6
0,2,2.2,3.2,3.25
1,1,4.33,3.4,1.8
0,1,3.25,3.2,2.2
1,0,2.6,3.1,2.7
0,4,4.75,3.5,1.72
3,0,1.28,5,10
1,0,2.1,3.2,3.5
2,0,1.14,7,19
2,1,3.8,3.4,1.9
2,1,1.9,3.25,4
2,0,2.1,3.2,3.5
2,1,2.8,3.25,2.4
0,1,1.83,3.3,4.33
2,1,1.25,5,13
2,1,1.66,3.6,5
1,2,2.3,3.25,3
1,1,2.4,3.25,2.8
4,0,2.3,3.25,3
1,2,7.5,4.33,1.4
4,0,1.3,4.75,8.5
2,1,2.25,3.2,3.1
0,3,3.1,3.2,2.25
3,0,2.3,3.1,3.1
4,1,2.1,3.25,3.4
1,0,2.5,3.25,2.7
2,1,1.5,3.75,7
1,1,2.37,3.2,2.9
0,1,2.6,3.1,2.7
0,1,2,3.2,3.75
0,0,2,3.2,3.75
0,2,6,3.75,1.5
1,1,2.6,3.2,2.62
2,2,2.5,3.1,2.8
1,2,2,3.2,3.75
3,4,3.2,3.25,2.2
0,1,3.6,3.3,2
0,1,7,3.75,1.5
1,2,1.72,3.5,4.75
3,0,1.16,6.5,15
4,1,1.3,5,9
0,2,1.95,3.3,3.8
0,0,2,3.3,3.6
3,1,1.4,4,7
0,0,2.1,3.25,3.4
0,0,4,3.25,1.9
2,0,2.4,3.25,2.8
1,0,3.1,3.3,2.2
1,0,1.61,3.6,5.5
1,0,2.1,3.25,3.4
1,1,2.3,3.25,3
4,1,2.2,3.2,3.25
4,1,1.33,4.5,9.5
0,1,1.9,3.3,4
0,1,9.5,4.5,1.33
2,0,2.2,3.2,3.25
1,0,1.72,3.4,5
1,1,2.37,3.2,2.9
4,1,1.66,3.4,5.5
0,0,2.1,3.2,3.5
0,1,1.4,4.33,7.5
1,2,2,3.2,3.75
1,0,1.44,4,7.5
4,1,1.61,3.6,5.5
2,1,6,4,1.5
1,2,3.8,3.4,1.9
1,2,2.37,3.25,2.87
1,3,2.5,3.25,2.7
1,1,1.9,3.25,4
1,1,2.1,3.2,3.4
0,0,2.25,3.25,3.1
1,3,2.2,3.25,3.2
0,0,3.2,3.25,2.2
4,2,3,3.25,2.3
